"Event_Label","Resource_Title","Number of Downloads"
"/pool/files/rteguide.pdf","rteguide.pdf",13991
"/pool/files/8rhakm-eng.pdf","8rhakm eng.pdf",12319
"/pool/files/ALNAPLessonsCycloneNargis.pdf","ALNAPLessonsCycloneNargis.pdf",12155
"/pool/files/ALNAPLessonsEarthquakes.pdf","ALNAPLessonsEarthquakes.pdf",7426
"/pool/files/ALNAPLessonsFoodPriceCrisis.pdf","ALNAPLessonsFoodPriceCrisis.pdf",4892
"/pool/files/gs_handbook.pdf","gs_handbook.pdf",4445
"/pool/files/8rhach3.pdf","8rhach3.pdf",3453
"/pool/files/a-ripple-in-development-main-report.pdf","a ripple in development main report.pdf",3358
"/pool/files/alnap-protection-guide.pdf","alnap protection guide.pdf",2960
"/pool/files/alnaplessonsfoodpricecrisis.pdf","alnaplessonsfoodpricecrisis.pdf",2701
"/pool/files/synthrep(1).pdf","synthrep(1).pdf",2487
"/pool/files/a-ripple-in-development-document-study.pdf","a ripple in development document study.pdf",2332
"/pool/files/erd-3691-full.pdf","erd 3691 full.pdf",1969
"/pool/files/bulletin0909.pdf","bulletin0909.pdf",1918
"/pool/files/8rhach1.pdf","8rhach1.pdf",1734
"/pool/files/8rhach2.pdf","8rhach2.pdf",1607
"/pool/files/alnap-hpg-sudan-paper.pdf","alnap hpg sudan paper.pdf",1597
"/pool/files/tourism_concern_post_tsunami_reconstruction_oct_05.pdf","tourism_concern_post_tsunami_reconstruction_oct_05.pdf",1579
"/pool/files/evaluation_manual_sida.pdf","evaluation_manual_sida.pdf",1509
"/pool/files/ALNAP-ProVention_flood_lessons.pdf","ALNAP ProVention_flood_lessons.pdf",1484
"/pool/files/praccountability.pdf","praccountability.pdf",1470
"/pool/files/erd-2838-full.pdf","erd 2838 full.pdf",1462
"/pool/files/alnap-provention-lessons-urban.pdf","alnap provention lessons urban.pdf",1407
"/pool/files/JEFAP_manual.pdf","JEFAP_manual.pdf",1363
"/pool/files/eha_2006.pdf","eha_2006.pdf",1351
"/pool/files/CourseManual.pdf","CourseManual.pdf",1328
"/pool/files/ALNAP-ProVention_lessons_on_slow-onset_disasters.pdf","ALNAP ProVention_lessons_on_slow onset_disasters.pdf",1288
"/pool/files/synthreport-tables.pdf","synthreport tables.pdf",1260
"/pool/files/ALNAP-ProVention_SAsia_Quake_Lessonsa.pdf","ALNAP ProVention_SAsia_Quake_Lessonsa.pdf",1241
"/pool/files/ALNAP-ProVention_SAsia_Quake_Lessonsb.pdf","ALNAP ProVention_SAsia_Quake_Lessonsb.pdf",1231
"/pool/files/22_accountability_framework.pdf","22_accountability_framework.pdf",1230
"/pool/files/ngo_funding_denmark.pdf","ngo_funding_denmark.pdf",1131
"/pool/files/QualityProforma05.pdf","QualityProforma05.pdf",1125
"/pool/files/full-meeting-booklet.pdf","full meeting booklet.pdf",1112
"/pool/files/alnaplessonsgaza.pdf","alnaplessonsgaza.pdf",1039
"/pool/files/RTEguide.pdf","RTEguide.pdf",1001
"/pool/files/tsunami-stats-facts.pdf","tsunami stats facts.pdf",909
"/publications/pdfs/ALNAPLessonsEarthquakes.pdf","ALNAPLessonsEarthquakes.pdf",876
"/pool/files/ApproachestoEquity.pdf","ApproachestoEquity.pdf",850
"/pool/files/eha_spanish.pdf","eha_spanish.pdf",838
"/pool/files/alnap_protection_guide.pdf","alnap_protection_guide.pdf",821
"/pool/files/FCh201bl.pdf","FCh201bl.pdf",812
"/pool/files/aar_case_study.pdf","aar_case_study.pdf",793
"/publications/eha_dac/pdfs/eha_2006.pdf","eha_2006.pdf",771
"/pool/files/us_navy_ha_and_disaster_relief_ops_planning_20050810.pdf","us_navy_ha_and_disaster_relief_ops_planning_20050810.pdf",769
"/pool/files/ar-2008-09.pdf","ar 2008 09.pdf",760
"/publications/7RHA/Ch4.pdf","Ch4.pdf",746
"/pdfs/QualityProforma05.pdf","QualityProforma05.pdf",727
"/pool/files/Syn_Report_Sum.pdf","Syn_Report_Sum.pdf",724
"/pool/files/ALNAPLessonsEarthquakesChinese.pdf","ALNAPLessonsEarthquakesChinese.pdf",688
