"Event_Label","Resource_Title","Number of Downloads"
"/pool/files/ALNAPLessonsCycloneNargis.pdf","ALNAPLessonsCycloneNargis.pdf",12155
"/pool/files/ALNAPLessonsEarthquakes.pdf","ALNAPLessonsEarthquakes.pdf",7426
"/pool/files/ALNAPLessonsFoodPriceCrisis.pdf","ALNAPLessonsFoodPriceCrisis.pdf",4892
"/pool/files/alnap-protection-guide.pdf","alnap protection guide.pdf",2960
"/pool/files/alnaplessonsfoodpricecrisis.pdf","alnaplessonsfoodpricecrisis.pdf",2701
"/pool/files/alnap-hpg-sudan-paper.pdf","alnap hpg sudan paper.pdf",1597
"/pool/files/ALNAP-ProVention_flood_lessons.pdf","ALNAP ProVention_flood_lessons.pdf",1484
"/pool/files/alnap-provention-lessons-urban.pdf","alnap provention lessons urban.pdf",1407
"/pool/files/ALNAP-ProVention_lessons_on_slow-onset_disasters.pdf","ALNAP ProVention_lessons_on_slow onset_disasters.pdf",1288
"/pool/files/ALNAP-ProVention_SAsia_Quake_Lessonsa.pdf","ALNAP ProVention_SAsia_Quake_Lessonsa.pdf",1241
"/pool/files/ALNAP-ProVention_SAsia_Quake_Lessonsb.pdf","ALNAP ProVention_SAsia_Quake_Lessonsb.pdf",1231
"/pool/files/alnaplessonsgaza.pdf","alnaplessonsgaza.pdf",1039
"/publications/pdfs/ALNAPLessonsEarthquakes.pdf","ALNAPLessonsEarthquakes.pdf",876
"/pool/files/alnap_protection_guide.pdf","alnap_protection_guide.pdf",821
"/pool/files/ALNAPLessonsEarthquakesChinese.pdf","ALNAPLessonsEarthquakesChinese.pdf",688
"/publications/pdfs/ALNAPLessonsCycloneNargis.pdf","ALNAPLessonsCycloneNargis.pdf",654
"/pool/files/alnaplessonsgaza(1).pdf","alnaplessonsgaza(1).pdf",652
"/publications/pdfs/ALNAPLessonsFoodPriceCrisis.pdf","ALNAPLessonsFoodPriceCrisis.pdf",644
"/publications/pdfs/ALNAP-ProVention_flood_lessons.pdf","ALNAP ProVention_flood_lessons.pdf",636
"/pool/files/ALNAPLessonsGaza.pdf","ALNAPLessonsGaza.pdf",599
"/pool/files/alnap_strategy_2008-2013.pdf","alnap_strategy_2008 2013.pdf",535
"/pdfs/alnap_strategy_2008-2013.pdf","alnap_strategy_2008 2013.pdf",483
"/pool/files/ALNAP_HPG_Sudan_Paper.pdf","ALNAP_HPG_Sudan_Paper.pdf",471
"/publications/pdfs/ALNAP-ProVention_lessons_on_slow-onset_disasters.pdf","ALNAP ProVention_lessons_on_slow onset_disasters.pdf",362
"/pool/files/alnap_membership.pdf","alnap_membership.pdf",327
