Event_Label,Sessions
/system/files/content/resource/files/main/alnap-eaar-resource-allocation-2017.pdf,90
/system/files/content/resource/files/main/annex-1-guidelines-inception-report.pdf,90
/system/files/content/resource/files/main/leadership-in-action-alnap-study.pdf,84
/system/files/content/resource/files/main/alnj5622-transforming-change-report-web.pdf,78
/system/files/content/resource/files/main/good-enough-guide-book-en.pdf,76
/system/files/content/resource/files/main/alnap-annual-report-2016-17.pdf,70
/system/files/content/resource/files/main/hif-alnap-2016-innovation-more-than-luck.pdf,65
/system/files/content/resource/files/main/rteguide.pdf,65
/system/files/content/resource/files/main/alnap-protection-guide.pdf,62
/system/files/content/resource/files/main/leadership-literature-review-alnap2013.pdf,61
/system/files/content/resource/files/main/toolkits-a-practical-guide-to-planning-monitoring-evaluation-and-impact-assessment2003.pdf,55
/system/files/content/resource/files/main/3ae6a0c38.pdf,51
/system/files/content/resource/files/main/wp1269-report.pdf,51
/system/files/content/resource/files/summary/leadership-in-action-exec-summary.pdf,49
/system/files/content/resource/files/main/alnap-study-evidence.pdf,48
/system/files/content/resource/files/main/a-quality-framework-tcm6-38740.pdf,47
/system/files/content/resource/files/main/alnap-rhetoric-or-reality-study.pdf,47
/sites/alnap-dev.mrmdev.co.uk/files/content/job/attachments/2018-01-12/PMER%20Americas%20case%20study%20TOR%2011.01.2018.pdf,43
/system/files/content/resource/files/main/fr-alnap-eha-guide-2016.pdf,43
/system/files/content/resource/files/main/7643.pdf,42
/system/files/content/resource/files/main/GHO2018.PDF,42
/system/files/content/resource/files/main/Syn_Report_Sum.pdf,42
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-11-13/ICVA%20Impact%20study%20TOR_2017.pdf,41
/system/files/content/resource/files/main/alnap-strategy-sept2013_0.pdf,39
/system/files/content/resource/files/summary/erd-3245-summary.pdf,39
/system/files/content/resource/files/main/ecb-toward-resilience-disaster-risk-reduction-climate-change-adaptation-guide-english.pdf,38
/system/files/content/resource/files/main/eha-pilot-alnap-2013.pdf,38
/system/files/content/resource/files/main/msf-in-the-eyes-of-others.pdf,38
/system/files/content/resource/files/main/refugeeeducation.pdf,38
/system/files/content/resource/files/main/alnap-evaluating-protection-paper.pdf,37
/system/files/content/resource/files/main/complaints-mechanism-handbook-2008.pdf,36
/system/files/content/resource/files/toc/erd-2966-contents.pdf,36
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-12-18/CWG%20drought%20cash%20evalution%20-%20FINAL%20Endorsed.pdf,35
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-12-21/ToR%20External%20Evaluator%20-%20Start%20Network%20DEPP%20Innovation%20Lab%20Programme%202112.pdf,35
/system/files/content/resource/files/main/qualitativeresearchmethodologymanual.pdf,35
/system/files/content/resource/files/main/update-exploring-coordination-in-humanitarian-clusters.pdf,35
/system/files/content/resource/files/main/closing-the-loop-alnap-cda-guidance.pdf,34
/system/files/content/resource/files/main/msf-egs03-the-challenges-of-localised-humanitarian-aid-in-armed-conflict-.pdf,34
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2018-01-04/ILO%20Call%20for%20expressions%20of%20interest_HLE%20Youth%20Employment_final.pdf,33
/system/files/content/resource/files/main/alnap-lessons-urban-web.pdf,33
/system/files/content/resource/files/main/meeting-paper-final-web-ok.pdf,33
/sites/alnap-dev.mrmdev.co.uk/files/content/job/attachments/2018-01-16/VN-999-2018%20Protection%20Baseline%20Study%20of%20Non%20-%20ID%20Palestinians%20in%20Lebano%20%20%20.pdf,32
/system/files/content/resource/files/main/acaps_humanitarian_overview_2018.pdf,32
/system/files/content/resource/files/main/407d3b762.pdf,31
/system/files/content/resource/files/main/alnap-sohs-2012-lo-res.pdf,31
/system/files/content/resource/files/main/alnap-sohs-2015-humanitarian-performance-table.pdf,31
/system/files/content/resource/files/main/alnap-2016-monitoring-infosheet.pdf,30
/system/files/content/resource/files/main/alnap-hif-evaluating-humanitarian-innovation-2017.pdf,30
/system/files/content/resource/files/main/alnap-lessons-paper-urban-violence.pdf,30
/system/files/content/resource/files/main/discussion-starter-evidence-alnap-2014.pdf,30
/system/files/content/resource/files/main/1304.pdf,29
/system/files/content/resource/files/main/alnap-evaluation-of-protection-guide.pdf,29
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-11-03/UNHCR_Call%20for%20EoI%2BToR_Evaluation_SGBV%20Western%20Tanzania_deadline_19Nov2017.pdf,28
/system/files/content/resource/files/main/14-461-j1503-partnering-in-emergencies-report-so.pdf,28
/system/files/content/resource/files/main/alnap-sohs-2015-introduction.pdf,28
/system/files/content/resource/files/main/enough.pdf,28
/system/files/content/resource/files/main/a-common-responsibility-1.pdf,27
/system/files/content/resource/files/main/alnap-sohs-2015-introduction-summary.pdf,27
/system/files/content/resource/files/main/nepal-earthquake-response-lessons-paper.pdf,27
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-12-21/Offre%20-%20Coordinateur%20des%20recherches.pdf,26
/system/files/content/resource/files/main/1396.pdf,26
/system/files/content/resource/files/main/alnap-urban-system-stakeholders-2016-web.pdf,26
/system/files/content/resource/files/main/qualitative-research-methodology.pdf,26
/system/files/content/resource/files/main/%5Bfinal-copy%5D-improving-humanitarian-coordination%2C-full-working-paper%2C-interactive-pdf.pdf,25
/system/files/content/resource/files/main/alnap-groupe-urd-participation-handbook-2009.pdf,24
/system/files/content/resource/files/main/alnap-responding-to-changing-needs-montreux-xiii-paper.pdf,24
/system/files/content/resource/files/main/ALNAP%20Governance%20Management%20and%20Membership%20online%20April%202016_0.pdf,24
/system/files/content/resource/files/main/es-alnap-eha-guide-2016.pdf,24
/system/files/content/resource/files/main/meeting-paper-2011.pdf,24
/system/files/content/resource/files/main/h-humanitarian-needs-assessment-the-good-enough-guide-1.pdf,23
/system/files/content/resource/files/main/tufts-1306-acaps-3-online.pdf,23
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-12-21/ToR%20consultancy%20members%20engagement%20ICVA.pdf,22
/system/files/content/resource/files/main/ALNAP%20Lessons%20Paper%20Method%20Note.pdf,22
/system/files/content/resource/files/main/alnap-byo-timeline.pdf,21
