# ----------------------------------------,,,,
# www.alnap.org,,,,
# Top Events,,,,
# 20171101-20180204,,,,
# ----------------------------------------,,,,
,,,,
Event Label,Total Events,Unique Events,Event Value,Avg. Value
/system/files/content/resource/files/main/alnap-evaluation-humanitarian-action-2016.pdf,550,470,0,0
/system/files/content/resource/files/main/alnap-sohs-2015-web.pdf,377,336,0,0
/system/files/content/resource/files/main/monitoring-of-humanitarian-action-scoping-paper-%5Bweb%5D.pdf,218,187,0,0
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-11-17/Tender%20document_invitation%20procedure_SDC_Evaluation%20Linking%20HA%20DC_V2_FINAL.pdf,213,177,0,0
/system/files/content/resource/files/main/eha-2006.pdf,166,147,0,0
/sites/alnap-dev.mrmdev.co.uk/files/content/attachments/2017-10-30/OCB%20Ops%20Budget%20ALNAP%20Ad%20%28002%29.pdf,155,102,0,0
/system/files/content/resource/files/main/competencies-framework-2012-colour.pdf,148,129,0,0
/system/files/content/resource/files/main/alnap-sohs-2018-inception-report.pdf,127,121,0,0
/system/files/content/resource/files/main/annex-1-guidelines-inception-report.pdf,124,90,0,0
/system/files/content/resource/files/main/alnap-eha-method-note-5-2017.pdf,112,97,0,0
,"15,333","13,332",0,0
,,,,
Day Index,Total Events,,,
01/11/2017,142,,,
02/11/2017,174,,,
03/11/2017,192,,,
04/11/2017,75,,,
05/11/2017,144,,,
06/11/2017,180,,,
07/11/2017,206,,,
08/11/2017,161,,,
09/11/2017,157,,,
10/11/2017,124,,,
11/11/2017,102,,,
12/11/2017,101,,,
13/11/2017,221,,,
14/11/2017,260,,,
15/11/2017,269,,,
16/11/2017,185,,,
17/11/2017,178,,,
18/11/2017,108,,,
19/11/2017,155,,,
20/11/2017,209,,,
21/11/2017,231,,,
22/11/2017,298,,,
23/11/2017,268,,,
24/11/2017,176,,,
25/11/2017,102,,,
26/11/2017,188,,,
27/11/2017,274,,,
28/11/2017,144,,,
29/11/2017,269,,,
30/11/2017,213,,,
01/12/2017,181,,,
02/12/2017,79,,,
03/12/2017,129,,,
04/12/2017,322,,,
05/12/2017,228,,,
06/12/2017,237,,,
07/12/2017,171,,,
08/12/2017,142,,,
09/12/2017,100,,,
10/12/2017,112,,,
11/12/2017,186,,,
12/12/2017,178,,,
13/12/2017,195,,,
14/12/2017,161,,,
15/12/2017,170,,,
16/12/2017,69,,,
17/12/2017,216,,,
18/12/2017,123,,,
19/12/2017,160,,,
20/12/2017,148,,,
21/12/2017,137,,,
22/12/2017,113,,,
23/12/2017,41,,,
24/12/2017,57,,,
25/12/2017,26,,,
26/12/2017,75,,,
27/12/2017,88,,,
28/12/2017,120,,,
29/12/2017,84,,,
30/12/2017,35,,,
31/12/2017,17,,,
01/01/2018,57,,,
02/01/2018,125,,,
03/01/2018,229,,,
04/01/2018,177,,,
05/01/2018,148,,,
06/01/2018,103,,,
07/01/2018,67,,,
08/01/2018,183,,,
09/01/2018,164,,,
10/01/2018,143,,,
11/01/2018,130,,,
12/01/2018,122,,,
13/01/2018,88,,,
14/01/2018,87,,,
15/01/2018,187,,,
16/01/2018,157,,,
17/01/2018,250,,,
18/01/2018,190,,,
19/01/2018,134,,,
20/01/2018,173,,,
21/01/2018,190,,,
22/01/2018,214,,,
23/01/2018,200,,,
24/01/2018,374,,,
25/01/2018,359,,,
26/01/2018,124,,,
27/01/2018,231,,,
28/01/2018,83,,,
29/01/2018,212,,,
30/01/2018,221,,,
31/01/2018,138,,,
01/02/2018,152,,,
02/02/2018,132,,,
03/02/2018,89,,,
04/02/2018,94,,,
,"15,333",,,
